customer_uuid,full_name,gender,age,date_of_birth,occupation,email,registered_phone_number,pan_number,aadhaar_last4,kyc_status,risk_tier,upi_id,bank_name,account_number,account_type,ifsc_code,home_branch,city,state,registered_device_id,registered_device_model,registered_ip_address,account_balance,last_transaction_amount,total_transactions_count,total_transactions_amount,monthly_avg_transaction,daily_transaction_limit,account_open_date,is_account_blocked,last_login_timestamp
CUST001,Rahul Tripathi,Male,23,2003-08-19,Nurse,tripathi.rahul@yahoo.co.in,9734036506,IEYIC0868X,8527,FAILED,LOW,rahul49@oksbi,Kotak Mahindra Bank,60013389083,Salary,KKBK0949,Ahmedabad MG Road Branch,Ahmedabad,Gujarat,DEV92397,Oppo (iOS 17),192.168.181.18,74071.27,44619.76,62,1356631.98,21881.16,200000,2013-07-07,False,2025-06-27 00:19:54
CUST002,Anjali Malhotra,Female,40,1986-01-08,Doctor,anjali41@hotmail.com,9324956459,BXOSF4861E,5040,FAILED,HIGH,anjali34@axl,Axis Bank,41928327648,NRI,UTIB0697,Chennai Civil Lines Branch,Chennai,Tamil Nadu,DEV62350,Oppo (Android 12),192.168.131.127,142596.93,8216.44,335,1669879.75,4984.72,25000,2014-01-08,False,2025-02-06 14:18:46
CUST003,Suresh Yadav,Male,34,1992-03-17,Business Owner,sureshyadav81@outlook.com,9694021782,DTOUN0309Z,6038,COMPLETE,LOW,suresh31@axl,ICICI Bank,01845146270,Savings,ICIC0187,Bhopal Cantonment Branch,Bhopal,Madhya Pradesh,DEV73699,OnePlus (iOS 17),192.168.33.169,36446.21,23455.69,205,1195817.97,5833.26,50000,2018-05-01,False,2025-05-09 06:11:22
CUST004,Simran Malhotra,Female,37,1989-04-01,Teacher,simran.malhotra91@protonmail.com,9528414718,FXWBG6219S,8744,COMPLETE,MEDIUM,simran53@okicici,IndusInd Bank,57871331509,Savings,INDB0199,Bhopal MG Road Branch,Bhopal,Madhya Pradesh,DEV96374,Realme (Android 11),10.0.106.120,464812.18,10137.44,396,1462562.83,3693.34,200000,2022-09-09,False,2025-02-12 01:49:26
CUST005,Amit Bose,Male,29,1997-08-07,Trader,bose.amit@yahoo.co.in,9399085574,AKYUH6776P,3536,COMPLETE,MEDIUM,amit28@okaxis,Federal Bank,73178108013,Savings,FDRL0865,Surat Main Branch,Surat,Gujarat,DEV51104,Samsung (Android 13),172.16.123.129,128084.89,7095.1,107,1077208.65,10067.37,25000,2023-04-24,False,2026-02-17 12:54:31
CUST006,Amit Pillai,Male,54,1972-06-08,Nurse,amit51@yahoo.co.in,9364371717,LYYAQ5055E,6718,COMPLETE,LOW,amit48@paytm,HDFC Bank,99091699854,Current,HDFC0548,Pune Main Branch,Pune,Maharashtra,DEV81200,Vivo (iOS 17),172.16.136.3,299542.38,20248.4,355,1725020.21,4859.21,25000,2020-06-28,False,2025-08-21 12:49:27
CUST007,Mahesh Kumar,Male,63,1963-11-09,Banker,kumar.mahesh@hotmail.com,9468164906,OCYRD0354B,6050,COMPLETE,LOW,mahesh46@okicici,Kotak Mahindra Bank,34874016400,Current,KKBK0782,Chennai Main Branch,Chennai,Tamil Nadu,DEV23473,Oppo (iOS 17),10.0.250.159,372496.26,30281.01,89,551972.94,6201.94,50000,2021-05-28,False,2025-05-01 01:04:58
CUST008,Kamlesh Gupta,Male,60,1966-04-08,Software Engineer,gupta.kamlesh@yahoo.co.in,9889262019,IWZHQ3959D,5279,COMPLETE,HIGH,kamlesh34@okaxis,ICICI Bank,34216073375,Savings,ICIC0710,Bhopal Main Branch,Bhopal,Madhya Pradesh,DEV66959,Oppo (Android 14),10.0.112.156,93783.53,46547.71,483,671049.08,1389.34,50000,2018-09-26,False,2025-03-31 19:47:37
CUST009,Meera Tiwari,Female,61,1965-12-10,Pharmacist,tiwari.meera@yahoo.co.in,9872482077,RJTEO4832Z,6279,PENDING,MEDIUM,meera57@okicici,Axis Bank,35615951484,NRI,UTIB0912,Jaipur Main Branch,Jaipur,Rajasthan,DEV32241,OnePlus (Android 11),172.16.170.163,355848.72,40344.89,10,1044641.49,104464.15,100000,2019-12-12,False,2025-09-18 08:21:43
CUST010,Girish Pandey,Male,48,1978-04-06,Professor,girishpandey60@gmail.com,9756350429,XDDMN5374X,9270,PENDING,HIGH,girish58@okhdfcbank,Axis Bank,17693676320,NRI,UTIB0560,Lucknow MG Road Branch,Lucknow,Uttar Pradesh,DEV43972,Apple iPhone (Android 14),10.0.197.200,404248.63,12317.64,85,58606.52,689.49,10000,2018-11-06,False,2026-01-12 09:32:35
CUST011,Deepak Rao,Male,27,1999-07-25,Architect,rao.deepak@gmail.com,9348315126,MYHKX8577H,8999,COMPLETE,MEDIUM,deepak56@ibl,HDFC Bank,62316658760,Savings,HDFC0498,Lucknow MG Road Branch,Lucknow,Uttar Pradesh,DEV54057,Realme (Android 14),192.168.216.120,139498.98,4120.83,173,1787123.4,10330.19,25000,2023-04-25,False,2025-04-10 03:09:16
CUST012,Pallavi Sharma,Female,47,1979-08-01,Pharmacist,pallavisharma7@outlook.com,9295130056,QUQTY1011V,2874,FAILED,LOW,pallavi60@paytm,Bank of Baroda,04653755646,Salary,BARB0271,Chandigarh Cantonment Branch,Chandigarh,Punjab,DEV89415,OnePlus (Android 12),10.0.28.149,333184.88,6871.4,52,1289071.8,24789.84,50000,2013-04-16,False,2025-08-31 07:18:16
CUST013,Geeta Chandra,Female,62,1964-07-27,Engineer,geeta14@hotmail.com,9929445037,QVSLT9285P,8616,PENDING,HIGH,geeta35@ybl,Bank of Baroda,49190586518,Current,BARB0950,Indore MG Road Branch,Indore,Madhya Pradesh,DEV21359,Vivo (iOS 16),192.168.193.119,42618.26,12218.18,363,1662837.55,4580.82,50000,2019-05-24,True,2025-10-22 08:52:21
CUST014,Priya Deshmukh,Female,56,1970-08-15,Software Engineer,priyadeshmukh12@outlook.com,9852890318,KGRJO3953O,5438,COMPLETE,MEDIUM,priya30@oksbi,Punjab National Bank,48083136783,Current,PUNB0423,Pune Civil Lines Branch,Pune,Maharashtra,DEV25670,Motorola (Android 14),192.168.50.56,109999.33,14054.96,418,524121.29,1253.88,100000,2021-04-14,False,2026-01-12 02:06:57
CUST015,Meena Tiwari,Female,29,1997-08-16,Police Officer,meena.tiwari44@yahoo.co.in,9424557359,GWCBM5618J,2395,COMPLETE,LOW,meena72@upi,Union Bank of India,08240084271,Current,UBIN0894,Goa Station Road Branch,Goa,Goa,DEV78494,Realme (iOS 16),10.0.77.221,490352.76,11451.41,436,396293.98,908.93,10000,2019-08-08,False,2025-11-30 01:58:03
CUST016,Jyoti Mishra,Female,23,2003-12-10,Police Officer,jyotimishra10@protonmail.com,9268638768,YUQRY4569E,2169,COMPLETE,LOW,jyoti40@axl,State Bank of India,32812067974,Salary,SBIN0549,Goa Main Branch,Goa,Goa,DEV26299,Nokia (Android 14),10.0.180.104,474057.15,13305.84,116,1254774.91,10817.03,10000,2023-07-29,False,2025-07-31 11:02:12
CUST017,Pallavi Deshmukh,Female,19,2007-10-14,Engineer,pallavi12@hotmail.com,9198061499,KICEK4647B,8451,COMPLETE,MEDIUM,pallavi33@ybl,Canara Bank,39904902787,Savings,CNRB0891,Bangalore Cantonment Branch,Bangalore,Karnataka,DEV62976,Motorola (Android 13),172.16.223.139,24731.09,30225.31,231,1471722.51,6371.09,50000,2018-03-08,False,2025-11-17 23:29:35
CUST018,Karan Pillai,Male,26,2000-02-15,Business Owner,pillai.karan@yahoo.co.in,9409268943,YHSKM4411T,9327,COMPLETE,LOW,karan36@upi,Punjab National Bank,77109324808,Salary,PUNB0906,Goa Civil Lines Branch,Goa,Goa,DEV76550,Vivo (Android 13),10.0.186.77,314577.33,13426.11,399,112707.43,282.47,100000,2022-05-24,False,2026-01-16 07:33:27
CUST019,Manoj Chauhan,Male,30,1996-03-17,Architect,chauhan.manoj@gmail.com,9848933239,CXADW9072T,7512,COMPLETE,MEDIUM,manoj87@kotak,Canara Bank,39636057662,NRI,CNRB0424,Nagpur Station Road Branch,Nagpur,Maharashtra,DEV92155,Nokia (iOS 17),192.168.159.18,278199.12,46649.33,288,760648.01,2641.14,100000,2015-08-20,False,2025-08-12 05:07:58
CUST020,Naresh Patel,Male,38,1988-10-28,Trader,nareshpatel80@protonmail.com,9954852540,MPGQL6842R,3588,COMPLETE,MEDIUM,naresh45@axl,Bank of Baroda,04556238692,Salary,BARB0754,Chennai Main Branch,Chennai,Tamil Nadu,DEV65615,Vivo (iOS 16),10.0.51.99,224620.88,1544.47,365,605937.5,1660.1,25000,2022-07-28,False,2026-01-11 07:39:04
CUST021,Nikhil Bose,Male,60,1966-11-25,Government Employee,nikhil.bose81@gmail.com,9524993183,ILPTC2711R,6994,FAILED,HIGH,nikhil35@okhdfcbank,IndusInd Bank,40909743953,Salary,INDB0944,Nagpur Cantonment Branch,Nagpur,Maharashtra,DEV73156,Vivo (Android 14),10.0.206.30,151456.83,48899.43,368,597509.2,1623.67,25000,2018-04-03,False,2025-02-28 11:40:54
CUST022,Rakesh Mehta,Male,25,2001-04-21,Teacher,rakesh82@hotmail.com,9588322781,QDBAZ1253L,9850,PENDING,HIGH,rakesh96@okhdfcbank,Yes Bank,54965137098,NRI,YESB0770,Indore Cantonment Branch,Indore,Madhya Pradesh,DEV22978,Nokia (iOS 17),10.0.241.244,186058.65,13296.48,414,795203.38,1920.78,50000,2016-02-20,False,2025-01-26 09:52:32
CUST023,Swati Rao,Female,59,1967-03-26,Architect,swatirao27@gmail.com,9485123110,PVGUU5299R,5106,COMPLETE,LOW,swati85@okaxis,Canara Bank,06431713900,Current,CNRB0115,Ahmedabad Station Road Branch,Ahmedabad,Gujarat,DEV56955,Apple iPhone (iOS 17),10.0.5.45,54180.54,45094.64,361,740996.57,2052.62,50000,2015-12-23,False,2025-02-10 16:47:18
CUST024,Naresh Das,Male,46,1980-08-03,Teacher,nareshdas42@rediffmail.com,9640992677,BHQOI9546D,2874,FAILED,LOW,naresh56@ibl,Union Bank of India,39084700766,Current,UBIN0523,Chennai Main Branch,Chennai,Tamil Nadu,DEV54424,Nokia (iOS 16),10.0.187.25,240741.75,29723.93,408,730457.56,1790.34,10000,2016-07-04,False,2025-11-28 11:27:27
CUST025,Geeta Shah,Female,65,1961-12-02,Retired,geeta77@outlook.com,9893276164,CNEMW3512H,8030,FAILED,HIGH,geeta79@kotak,Punjab National Bank,52809885165,Savings,PUNB0723,Hyderabad Civil Lines Branch,Hyderabad,Telangana,DEV96223,Vivo (Android 13),192.168.70.180,38230.99,21650.64,435,179875.07,413.51,100000,2021-07-20,False,2025-08-28 23:53:31
CUST026,Nisha Sharma,Female,19,2007-01-05,Banker,nisha.sharma97@rediffmail.com,9198524063,RHRML2714J,8972,FAILED,MEDIUM,nisha6@okicici,ICICI Bank,83667525459,NRI,ICIC0713,Hyderabad Cantonment Branch,Hyderabad,Telangana,DEV17180,Samsung (Android 12),10.0.243.55,330385.59,31695.28,45,292330.56,6496.23,200000,2021-08-10,False,2025-04-17 14:14:31
CUST027,Sunita Nair,Female,32,1994-12-21,Farmer,nair.sunita@gmail.com,9637152602,AIUQV9082S,7560,FAILED,LOW,sunita51@paytm,HDFC Bank,85160607159,Salary,HDFC0326,Mumbai Civil Lines Branch,Mumbai,Maharashtra,DEV53655,Xiaomi Redmi (Android 13),172.16.163.30,374771.99,26675.86,99,267079.55,2697.77,100000,2018-12-14,False,2026-02-01 02:11:43
CUST028,Mahesh Pandey,Male,27,1999-08-15,Retired,mahesh.pandey36@rediffmail.com,9916274954,JBMAJ2690T,9307,PENDING,MEDIUM,mahesh75@kotak,Punjab National Bank,12779979955,Savings,PUNB0560,Nagpur MG Road Branch,Nagpur,Maharashtra,DEV84928,Apple iPhone (Android 11),172.16.122.129,121953.08,8757.6,84,519376.76,6183.06,25000,2014-09-10,False,2025-02-18 01:24:33
CUST029,Pooja Shukla,Female,46,1980-02-18,Trader,poojashukla37@outlook.com,9662714327,IPDJZ6359J,7171,COMPLETE,LOW,pooja86@kotak,Punjab National Bank,89255466590,Savings,PUNB0761,Bangalore Cantonment Branch,Bangalore,Karnataka,DEV97878,Realme (iOS 17),10.0.5.93,324832.91,21944.14,30,503010.01,16767.0,50000,2016-06-19,False,2025-05-21 00:20:39
CUST030,Manish Pandey,Male,24,2002-03-24,Police Officer,manish6@hotmail.com,9645127678,RGLHT4538P,4178,COMPLETE,HIGH,manish57@ibl,Canara Bank,88059296222,Salary,CNRB0896,Kolkata MG Road Branch,Kolkata,West Bengal,DEV60052,Motorola (iOS 17),10.0.248.42,499988.43,42236.98,89,163558.52,1837.74,200000,2022-02-28,False,2025-06-05 02:38:07
CUST031,Neha Malhotra,Female,51,1975-07-02,Trader,nehamalhotra65@outlook.com,9233871736,KCFIC7310P,3273,PENDING,MEDIUM,neha79@okaxis,Kotak Mahindra Bank,41247826137,Savings,KKBK0119,Delhi Civil Lines Branch,Delhi,Delhi,DEV43544,Apple iPhone (Android 12),172.16.241.187,437687.89,35598.91,293,1869244.17,6379.67,50000,2019-10-30,False,2026-02-14 22:22:26
CUST032,Pooja Pandey,Female,47,1979-04-19,Farmer,pooja.pandey24@protonmail.com,9167438668,NJYOU5080M,7116,COMPLETE,LOW,pooja46@oksbi,Kotak Mahindra Bank,17980893246,Salary,KKBK0346,Ahmedabad Station Road Branch,Ahmedabad,Gujarat,DEV96127,OnePlus (iOS 17),172.16.194.86,65314.93,39715.57,132,845452.83,6404.95,10000,2014-07-01,False,2025-02-04 10:28:37
CUST033,Pallavi Nair,Female,22,2004-01-25,Lawyer,pallavi.nair37@outlook.com,9868847524,WIDJX7839P,9151,COMPLETE,HIGH,pallavi35@oksbi,Yes Bank,70430305486,NRI,YESB0180,Pune Civil Lines Branch,Pune,Maharashtra,DEV66440,Xiaomi Redmi (iOS 17),10.0.83.27,490505.5,40593.73,255,1267154.34,4969.23,200000,2013-11-24,False,2025-09-12 16:52:12
CUST034,Sunita Rao,Female,40,1986-02-08,Freelancer,sunita.rao47@hotmail.com,9760191749,PRYJT5536H,2858,COMPLETE,LOW,sunita64@kotak,IndusInd Bank,64016582029,NRI,INDB0675,Bhopal MG Road Branch,Bhopal,Madhya Pradesh,DEV25435,Vivo (Android 11),172.16.115.55,346433.58,36368.04,189,899788.02,4760.78,100000,2019-11-12,True,2025-08-10 19:32:19
CUST035,Swati Singh,Female,61,1965-03-08,Engineer,swati4@outlook.com,9443154754,MZDWB3744N,2208,COMPLETE,MEDIUM,swati83@oksbi,ICICI Bank,51884422583,NRI,ICIC0577,Bangalore Civil Lines Branch,Bangalore,Karnataka,DEV99143,Motorola (Android 11),192.168.225.213,90464.9,4480.76,375,895771.27,2388.72,10000,2021-10-01,False,2025-05-22 08:02:19
CUST036,Pradeep Pillai,Male,32,1994-03-19,Architect,pradeep20@yahoo.co.in,9471539452,VOVAB6567N,1496,PENDING,HIGH,pradeep38@paytm,State Bank of India,84143842498,NRI,SBIN0350,Chennai Cantonment Branch,Chennai,Tamil Nadu,DEV99783,Realme (Android 11),10.0.19.177,80742.66,46743.42,94,332314.25,3535.26,10000,2013-09-03,False,2025-05-03 18:49:59
CUST037,Aarti Deshmukh,Female,40,1986-01-10,Trader,aartideshmukh79@hotmail.com,9528118701,ZXVYS1194J,9148,COMPLETE,LOW,aarti51@kotak,Canara Bank,25881537147,NRI,CNRB0346,Kolkata Station Road Branch,Kolkata,West Bengal,DEV38199,Oppo (Android 13),192.168.73.127,305296.83,16033.89,170,1724355.3,10143.27,25000,2019-09-14,False,2026-01-01 12:22:29
CUST038,Pallavi Sharma,Female,20,2006-10-22,Consultant,pallavi.sharma16@yahoo.co.in,9530121245,KUIYT1550E,6456,PENDING,HIGH,pallavi59@okhdfcbank,HDFC Bank,09835841687,Current,HDFC0435,Bhopal MG Road Branch,Bhopal,Madhya Pradesh,DEV90356,Oppo (Android 12),10.0.254.158,441815.59,20222.38,382,737897.5,1931.67,200000,2021-04-17,False,2025-08-21 10:07:56
CUST039,Divya Pillai,Female,39,1987-03-17,Consultant,divyapillai49@yahoo.co.in,9823494111,AYCAI1647P,2020,COMPLETE,HIGH,divya27@kotak,Union Bank of India,16940974993,Salary,UBIN0778,Kochi Civil Lines Branch,Kochi,Kerala,DEV72701,Motorola (iOS 16),10.0.245.45,355826.2,930.18,163,955036.27,5859.12,10000,2018-02-26,False,2026-02-19 02:12:31
CUST040,Pallavi Iyer,Female,32,1994-07-27,Freelancer,pallavi99@yahoo.co.in,9419561201,BYCYR7282R,5450,COMPLETE,LOW,pallavi79@axl,Yes Bank,43757584419,Current,YESB0348,Jaipur Cantonment Branch,Jaipur,Rajasthan,DEV16653,Motorola (Android 12),172.16.60.14,244669.15,27948.52,500,500573.08,1001.15,200000,2014-02-15,False,2025-11-18 00:29:45
